"ID","filed","Kingdom","Phylum","Class","Order","Family","Genus","group","Label"
"Terrimonas","bac","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Terrimonas","bac","Terrimonas"
"Tetracystis","fun","Viridiplantae","Chlorophyta","Chlorophyceae","Chlamydomonadales","Chlorococcaceae","Tetracystis","fun","Tetracystis"
"Tetrahymena","fun","Alveolata","Ciliophora","Oligohymenophorea","Hymenostomatida","Tetrahymenidae","Tetrahymena","fun","Tetrahymena"
"Thaumatomonas","fun","Rhizaria","Cercozoa","Cercozoa_cls_Incertae_sedis","Thaumatomonadida","Thaumatomastigidae","Thaumatomonas","fun","Thaumatomonas"
"Thermogutta","bac","Bacteria","Planctomycetes","Planctomycetia","Planctomycetales","Planctomycetaceae","Thermogutta","bac","Thermogutta"
"Thiobacillus","bac","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae","Thiobacillus","bac","Thiobacillus"
"Trebouxia","fun","Viridiplantae","Chlorophyta","Trebouxiophyceae","Trebouxiales","Trebouxiaceae","Trebouxia","fun","Trebouxia"
"Trichocladium","fun","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Trichocladium","fun","Trichocladium"
"Trichoderma","fun","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Trichoderma","fun","Trichoderma"
"Tylenchorhynchus","fun","Metazoa","Nematoda","Chromadorea","Rhabditida","Telotylenchidae","Tylenchorhynchus","fun","Tylenchorhynchus"
"Unassigned","bac","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","bac","Unassigned"
"Variovorax","bac","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Variovorax","bac","Variovorax"
"Vorticella","fun","Alveolata","Ciliophora","Oligohymenophorea","Oligohymenophorea_ord_Incertae_sedis","Vorticellidae","Vorticella","fun","Vorticella"
"WPS-1_genera_incertae_sedis","bac","Bacteria","candidate_division_WPS-1","Unassigned","Unassigned","Unassigned","WPS-1_genera_incertae_sedis","bac","WPS-1_genera_incertae_sedis"
"Zopfiella","fun","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Zopfiella","fun","Zopfiella"
