"","X1","X2","elements","filed","Kingdom","Phylum","Class","Order","Family","Genus","Species","group","igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree"
"bac_ASV_61",-11.1023118144127,-14.8905422586718,"bac_ASV_61","bac","Bacteria","Actinobacteria","Actinobacteria","Gaiellales","Gaiellaceae","Gaiella","Gaiella_occulta","bac",1,0.176842105263158,0,1
"bac_ASV_614",38.1474057636854,3.85893245241491,"bac_ASV_614","bac","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Polyangiaceae","Unassigned","Unassigned","bac",0,0,0,0
"bac_ASV_617",-2.92659591473077,-13.3622485763265,"bac_ASV_617","bac","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","bac",2,0.220183486238532,46.3322660903925,2
"bac_ASV_619",-8.54427355626975,22.3082310489229,"bac_ASV_619","bac","Bacteria","Acidobacteria","Acidobacteria_Gp2","Unassigned","Unassigned","Gp2","Unassigned","bac",3,0.19557625145518,481.032456908599,3
"bac_ASV_62",-13.4650621163064,10.6824058705874,"bac_ASV_62","bac","Bacteria","Proteobacteria","Betaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned","bac",2,0.214012738853503,62.7212490379407,2
"bac_ASV_623",2.38524717511664,22.5670572419036,"bac_ASV_623","bac","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","bac",3,0.168505516549649,414.843835893344,3
"bac_ASV_624",29.8569461271143,-29.5356965375883,"bac_ASV_624","bac","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Parafilimonas","Parafilimonas_terrae","bac",0,0,0,0
"bac_ASV_625",33.5932642818742,-12.4783926286307,"bac_ASV_625","bac","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Unassigned","Unassigned","bac",0,0,0,0
"bac_ASV_63",19.8922776352061,16.2652629023177,"bac_ASV_63","bac","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","bac",1,0.121475054229935,0,1
"bac_ASV_630",-23.3776959872556,-9.98875121898502,"bac_ASV_630","bac","Bacteria","Proteobacteria","Betaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned","bac",3,0.2237017310253,1217.07810199196,3
"bac_ASV_64",24.3118672330589,32.6709982921726,"bac_ASV_64","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria_incertae_sedis","Unassigned","Rhizomicrobium","Unassigned","bac",0,0,0,0
"bac_ASV_641",35.2840105156876,-3.77678735038856,"bac_ASV_641","bac","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","bac",0,0,0,0
"bac_ASV_643",-2.10243546275755,16.8474435571664,"bac_ASV_643","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Unassigned","Unassigned","Unassigned","bac",1,0.105065666041276,0,1
"bac_ASV_646",-0.670212590642097,39.0636170225642,"bac_ASV_646","bac","Bacteria","Proteobacteria","Deltaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned","bac",0,0,0,0
"bac_ASV_65",17.9444589823855,6.09259664436043,"bac_ASV_65","bac","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas","Gemmatimonas_aurantiaca","bac",1,0.133971291866029,0,1
"bac_ASV_650",-2.75171393015418,-41.8308905716682,"bac_ASV_650","bac","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","bac",0,0,0,0
"bac_ASV_651",4.10818803630127,3.66361652527961,"bac_ASV_651","bac","Bacteria","Proteobacteria","Gammaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned","bac",6,0.21105527638191,574.915291796134,6
